Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Estonia,EST,"Life expectancy at birth, total (years)",75.4292682926829,76.2292682926829,76.3268292682927,77.1414634146341,77.0341463414634,77.590243902439,77.6414634146342,78.0926829268293,78.2439024390244,78.6463414634147,78.5951219512195,76.9439024390244,77.9439024390244,77.9439024390244
Ethiopia,ETH,"Life expectancy at birth, total (years)",59.73,60.721,61.543,62.373,62.905,63.649,64.392,64.838,65.412,65.838,65.371,64.975,65.645,65.645
Finland,FIN,"Life expectancy at birth, total (years)",79.8707317073171,80.4707317073171,80.6268292682927,80.9756097560976,81.1804878048781,81.4804878048781,81.4292682926829,81.6317073170732,81.7341463414634,81.9829268292683,81.9317073170732,81.8853658536585,81.1878048780488,81.1878048780488
Fiji,FJI,"Life expectancy at birth, total (years)",67.328,67.523,67.552,67.428,67.376,66.844,67.24,67.79,67.81,67.893,67.924,67.114,68.312,68.312
France,FRA,"Life expectancy at birth, total (years)",81.6634146341463,82.1146341463415,81.9682926829268,82.219512195122,82.719512195122,82.3219512195122,82.5731707317073,82.5756097560976,82.6756097560976,82.8268292682927,82.1756097560976,82.3243902439024,82.2292682926829,82.2292682926829
Gabon,GAB,"Life expectancy at birth, total (years)",63.898,64.045,64.587,64.776,64.974,65.46,65.802,66.189,66.306,66.603,66.531,65.821,65.694,65.694
United Kingdom,GBR,"Life expectancy at birth, total (years)",80.4024390243902,80.9512195121951,80.9048780487805,81.0048780487805,81.3048780487805,80.9560975609756,81.1560975609756,81.2560975609756,81.2560975609756,81.4048780487805,80.3512195121951,80.7,82.0585365853659,82.0585365853659
Georgia,GEO,"Life expectancy at birth, total (years)",72.128,72.39,72.412,72.628,73.099,73.297,73.569,73.57,73.341,73.47,72.765,71.694,71.587,71.587
Ghana,GHA,"Life expectancy at birth, total (years)",61.157,61.652,62.081,62.42,63.045,63.175,63.89,64.013,64.122,64.74,64.114,63.795,63.945,63.945
Guinea,GIN,"Life expectancy at birth, total (years)",56.72,57.019,57.406,57.791,57.886,58.134,58.763,59.109,59.349,59.72,59.327,58.892,58.985,58.985
"Gambia, The",GMB,"Life expectancy at birth, total (years)",60.717,61.526,62.096,62.114,62.269,62.494,63.013,62.995,63.04,63.755,62.612,62.083,62.906,62.906
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",56.23,56.967,57.69,58.232,58.61,59.128,59.674,60.066,60.502,60.882,59.999,59.652,59.861,59.861
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",57.878,58.412,58.865,59.224,59.595,60.103,60.479,60.821,61.191,61.644,60.708,60.594,61.19,61.19
Greece,GRC,"Life expectancy at birth, total (years)",80.3878048780488,80.7317073170732,80.6341463414634,81.2853658536585,81.3853658536585,81.0365853658537,81.3878048780488,81.2878048780488,81.7878048780488,81.6390243902439,81.2878048780488,80.0829268292683,80.6365853658537,80.6365853658537
Guatemala,GTM,"Life expectancy at birth, total (years)",70.878,71.177,71.463,71.728,71.964,72.103,72.355,72.551,72.726,73.129,71.797,69.237,68.674,68.674
Guyana,GUY,"Life expectancy at birth, total (years)",66.743,66.982,67.23,67.473,67.882,68.201,68.384,68.667,68.896,69.124,68.486,65.673,65.989,65.989
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",82.9575609756098,83.4119512195122,83.450243902439,83.8312195121951,83.9356097560976,84.2526829268293,84.2114634146342,84.6956097560976,84.869756097561,85.1558536585366,85.4963414634146,85.5326829268293,83.6609756097561,83.6609756097561
Honduras,HND,"Life expectancy at birth, total (years)",71.088,71.439,71.734,71.963,72.259,72.487,72.588,72.692,72.814,72.881,71.462,70.123,70.728,70.728
Croatia,HRV,"Life expectancy at birth, total (years)",76.4756097560976,76.7756097560976,76.9243902439024,77.1268292682927,77.4780487804878,77.2756097560976,78.0219512195122,77.8268292682927,78.0707317073171,78.4243902439025,77.7243902439024,76.4243902439025,77.5756097560976,77.5756097560976
Haiti,HTI,"Life expectancy at birth, total (years)",46.019,61.623,62.291,62.605,62.987,63.237,63.392,63.854,64.019,64.255,64.052,63.192,63.728,63.728
Hungary,HUN,"Life expectancy at birth, total (years)",74.2073170731707,74.8585365853659,75.0634146341463,75.5658536585366,75.7634146341463,75.5682926829269,76.0634146341464,75.8170731707317,76.0658536585366,76.3195121951219,75.5682926829269,74.1634146341463,76.0170731707317,76.0170731707317
Indonesia,IDN,"Life expectancy at birth, total (years)",68.679,68.823,68.973,69.264,69.533,69.699,69.798,69.936,70.338,70.518,68.808,67.57,68.25,68.25
India,IND,"Life expectancy at birth, total (years)",66.909,67.359,67.887,68.46,69.074,69.636,70.117,70.467,70.71,70.91,70.15,67.24,67.744,67.744
Ireland,IRL,"Life expectancy at birth, total (years)",80.7439024390244,80.7463414634146,80.8463414634146,80.9487804878049,81.3487804878049,81.4536585365854,81.6536585365854,82.1560975609756,82.2048780487805,82.7024390243903,82.5560975609756,82.3536585365854,83.0560975609756,83.0560975609756
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",73.069,73.679,74.186,74.449,74.782,75.124,75.6,75.971,76.195,76.103,74.832,73.875,74.556,74.556
Iraq,IRQ,"Life expectancy at birth, total (years)",67.062,67.659,68.023,68.253,68.914,69.44,68.988,70.413,71.514,71.576,69.123,70.378,71.336,71.336
Iceland,ISL,"Life expectancy at birth, total (years)",81.8975609756097,82.3585365853659,82.9170731707317,82.0609756097561,82.8609756097561,82.4682926829268,82.2048780487805,82.6609756097561,82.8609756097561,83.1634146341463,83.0634146341463,83.1658536585366,82.1707317073171,82.1707317073171
