Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Jamaica,JAM,Gini index,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,40.2,40.2,40.2,40.2
Jordan,JOR,Gini index,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7
Japan,JPN,Gini index,32.1,32.1,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9
Kazakhstan,KAZ,Gini index,28.0,28.0,28.2,27.1,27.0,26.8,27.2,27.5,27.8,28.0,28.7,29.2,29.2,29.2
Kenya,KEN,Gini index,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,36.2,36.2,36.2,38.7,38.7,38.7
Kyrgyz Republic,KGZ,Gini index,30.1,27.8,27.4,28.8,26.8,29.0,26.8,27.3,27.7,29.7,29.0,28.8,28.8,28.8
Cambodia,KHM,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
"Korea, Rep.",KOR,Gini index,32.0,32.0,31.6,31.6,31.2,31.2,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4
Kuwait,KWT,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Lao PDR,LAO,Gini index,36.0,36.0,36.0,36.0,36.0,36.0,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8
Lebanon,LBN,Gini index,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8
Liberia,LBR,Gini index,33.2,33.2,33.2,33.2,33.2,33.2,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3
Libya,LBY,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Sri Lanka,LKA,Gini index,38.7,38.7,38.7,38.7,38.7,39.3,39.3,39.3,37.7,37.7,37.7,37.7,37.7,37.7
Lesotho,LSO,Gini index,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9
Lithuania,LTU,Gini index,33.6,32.5,35.1,35.3,37.7,37.4,38.4,37.3,35.7,35.3,36.0,36.7,36.7,36.7
Luxembourg,LUX,Gini index,30.5,32.1,34.3,32.0,31.2,32.9,31.7,34.5,35.4,34.2,33.4,32.7,32.7,32.7
Latvia,LVA,Gini index,35.0,35.8,35.2,35.5,35.1,34.2,34.3,35.6,35.1,34.5,35.7,34.3,34.3,34.3
Morocco,MAR,Gini index,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5
Moldova,MDA,Gini index,32.1,30.6,29.2,28.5,26.8,27.0,26.3,25.9,25.7,26.0,26.0,25.7,25.7,25.7
Madagascar,MDG,Gini index,42.4,42.4,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6
Mexico,MEX,Gini index,47.7,47.7,49.6,49.6,48.9,48.9,46.9,46.9,46.0,46.0,44.6,44.6,43.5,43.5
North Macedonia,MKD,Gini index,40.2,39.4,38.1,36.2,35.2,35.6,34.5,34.2,33.0,33.5,33.5,33.5,33.5,33.5
Mali,MLI,Gini index,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,35.7,35.7,35.7,35.7
Malta,MLT,Gini index,29.0,29.1,29.4,28.8,29.0,29.4,29.1,29.2,28.7,31.0,31.4,31.4,31.4,31.4
Myanmar,MMR,Gini index,38.1,38.1,38.1,38.1,38.1,38.1,38.1,30.7,30.7,30.7,30.7,30.7,30.7,30.7
Montenegro,MNE,Gini index,41.2,41.2,41.2,39.0,38.8,39.0,38.5,36.9,36.8,35.7,35.4,34.3,34.3,34.3
Mongolia,MNG,Gini index,33.1,33.9,33.8,33.8,32.0,32.0,32.3,32.3,32.7,32.7,32.7,31.4,31.4,31.4
Mozambique,MOZ,Gini index,54.0,54.0,54.0,54.0,54.0,54.0,54.0,50.5,50.5,50.5,50.5,50.5,50.5,50.5
Mauritania,MRT,Gini index,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.0,32.0,32.0,32.0,32.0,32.0,32.0
Mauritius,MUS,Gini index,38.5,38.5,38.5,38.5,38.5,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
Malawi,MWI,Gini index,45.5,45.5,45.5,45.5,44.7,44.7,44.7,44.7,38.5,38.5,38.5,38.5,38.5,38.5
Malaysia,MYS,Gini index,43.9,43.9,43.9,41.3,41.3,41.1,41.1,41.2,41.2,41.2,40.7,40.7,40.7,40.7
Namibia,NAM,Gini index,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1
Niger,NER,Gini index,31.5,31.5,31.5,34.3,34.3,34.3,34.3,37.3,37.3,37.3,32.9,32.9,32.9,32.9
Nigeria,NGA,Gini index,35.7,35.7,35.5,35.5,35.9,35.9,35.9,35.1,35.1,35.1,35.1,35.1,35.1,35.1
Nicaragua,NIC,Gini index,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2
Netherlands,NLD,Gini index,27.8,27.8,27.6,28.1,28.6,28.2,28.2,28.5,28.1,29.2,26.0,25.7,25.7,25.7
Norway,NOR,Gini index,25.7,25.3,25.7,26.4,26.8,27.5,28.5,27.0,27.6,27.7,27.7,27.7,27.7,27.7
Nepal,NPL,Gini index,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8
New Zealand,NZL,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Oman,OMN,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Pakistan,PAK,Gini index,28.8,29.7,29.7,29.5,29.5,31.3,31.3,29.6,29.6,29.6,29.6,29.6,29.6,29.6
