CountryOfOrigin,Continent,FarmName,Altitude,Region,Producer,Variety,ProcessingMethod,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,Overall,TotalCupPoints,MoisturePercentage
Taiwan,Asia,永舜咖啡莊園,1250,"Caoling , Gukeng Township, Yunlin County",蘇甘永,SL34,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10.0,10.0,10.0,7.67,83.67,10.0
Myanmar,Asia,Aromatic,1400,South Shan State,Lim,"Catimor,Catuai,Caturra,Bourbon",Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.67,10.2
Taiwan,Asia,恆珊農場,300,新竹縣,羅以珊,unknown,Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,10.0,10.0,10.0,7.67,83.67,9.2
Honduras,North America,Maria Bonita,1470,"San Jose, La Paz",Pedro Turcios,Parainema,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.67,83.67,11.1
Taiwan,Asia,正源咖啡,325,新竹縣,彭文正,unknown,Natural / Dry,7.58,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,7.67,83.58,8.4
Taiwan,Asia,宋明光	蝙蝠洞莊園	蝙蝠洞莊園,275,新竹縣,宋明光,Typica,Pulped natural / honey,7.58,7.75,7.58,7.75,7.58,7.67,10.0,10.0,10.0,7.67,83.58,9.1
Guatemala,North America,SAN FRANCISCO COTZAL,1600,QUICHE,SAN FRANCISCO COTZAL,Caturra,Washed / Wet,7.58,7.83,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.75,83.58,10.9
Honduras,North America,varias,1400,Marcala,comsa,SHG,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10.0,10.0,10.0,7.67,83.5,11.2
Colombia,South America,La fortaleza,1700,Popayán Cauca,La fortaleza,Caturra,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10.0,10.0,10.0,7.58,83.5,12.2
Thailand,Asia,Doi Tung Development Project,1390,North of Thailand,Doi Tung Development Project,Bourbon,Washed / Wet,7.42,7.83,7.58,7.67,7.67,7.75,10.0,10.0,10.0,7.58,83.5,13.1
Ethiopia,Africa,YHAENU PLC FARM,1700,OROMIA,YHAENU PLC,Ethiopian Heirlooms,Washed / Wet,7.42,7.42,7.42,8.0,7.92,7.67,10.0,10.0,10.0,7.67,83.5,10.4
Thailand,Asia,Doi Nan,1450,Suan Ya Lung,Chalerm,Java,Washed / Wet,7.67,7.67,7.5,7.67,7.58,7.67,10.0,10.0,10.0,7.67,83.42,11.6
Uganda,Africa,Bugisu Shamba,1650,Mt Elgon,Kawacom Uganda Ltd,SL14,Washed / Wet,7.75,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.75,83.42,10.1
Taiwan,Asia,香香久溢咖啡莊園,1100,Chiayi,吳昭昀,Typica + SL34,Washed / Wet,7.75,7.92,7.67,7.92,7.75,7.83,8.67,10.0,10.0,7.92,83.42,10.1
Uganda,Africa,Masereka William,1905,Rwenzori,Kyagalanyi coffee limited,SL14,Washed / Wet,7.75,7.67,7.58,7.5,7.67,7.5,10.0,10.0,10.0,7.67,83.33,11.1
Taiwan,Asia,四分子道,250,新竹縣,林士傑,Typica,Pulped natural / honey,7.58,7.67,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.75,83.33,9.7
Guatemala,North America,MI CAFECITO & LA PROVIDENCIA,1302,NEW ORIENTE & HUEHUETENANGO,500 PRODUCERS,"MARSELLESA, CATUAI, CATURRA & MARSELLESA, ANACAFE 14, CATUAI",Washed / Wet,7.5,7.75,7.58,7.75,7.67,7.58,10.0,10.0,10.0,7.5,83.33,11.4
Taiwan,Asia,木華莊園,300,桃園市,簡進財,Typica,Washed / Wet,7.58,7.67,7.58,7.75,7.42,7.58,10.0,10.0,10.0,7.75,83.33,9.6
Colombia,South America,El Laurel,1100,Sierra Nevada de Santa Marta,Eric SELLIN,Caturra,Washed / Wet,7.67,7.67,7.42,7.75,7.5,7.75,10.0,10.0,10.0,7.58,83.33,13.5
Costa Rica,North America,Gamboa Farm,1850,Tarrazu,Martin Gutierrez,Caturra,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.75,10.0,10.0,10.0,7.67,83.33,0.0
Taiwan,Asia,東泓咖啡莊園,750,Yunlin,陳善東,SL34,Washed / Wet,7.75,7.83,7.58,7.58,7.58,7.5,10.0,10.0,10.0,7.5,83.33,10.7
